الرقم والاسم,الأساس الفلسفي,الخماسية الإجرائية الكاملة دون نقص,دور المعلم والمتعلم,الأداة التقنية,الأثر/المعيار,الالرقم والاسم
37. طريقة وينتكا (التفرد),تفريد التعليم الذاتي,1. تهيئة تشخيصية: تحديد مستوى الطالب المعرفي بدقة متناهية قبل بدء التعلم. 2. انغماس في موديول: تزويد الطالب بوحدات تعليمية (موديولات) ذاتية التصحيح. 3. تجريب تصحيحي: حل الاختبارات الذاتية وإعادة المحاولة حتى الوصول للإتقان التام. 4. ملاحظة تقدمية: انتقال الطالب للوحدة التالية فور تحقيق معيار النجاح المطلوب. 5. استخلاص كفاءة: الوصول لمستوى الإتقان النهائي لكل مهارة بشكل فردي ومستقل.,المعلم: مصمم موديولات ومراقب تقدم. المتعلم: متعلم ذاتي يسير حسب وتيرته الخاصة للتمكن.,LMS Systems,الوصول لمستوى الإتقان المطلوب لكل مهارة بشكل فردي ودون مقارنة بالأخرين.,
38. طريقة مونتيسوري,الوفاء الفيزيائي (Sensory Fidelity),1. تهيئة بيئية: إعداد الفصل بأدوات حسية ملموسة ومرتبة بدقة متناهية (البيئة المعدة). 2. انغماس حسي: اختيار الطالب الحر للأداة التي تثير فضوله المعرفي المباشر. 3. تجريب يدوي: التفاعل المباشر والحسي مع الأداة (لمس، ترتيب، تركيب، موازنة). 4. ملاحظة ذاتية: اكتشاف الطالب لخطئه ذاتياً من خلال (تصحيح الخطأ) الكامن في الأداة. 5. استخلاص مفاهيم: بناء المفاهيم المجردة (الأرقام، الأشكال) من خلال الحواس أولاً.,المعلم: معد للبيئة ومراقب صامت. المتعلم: مستكشف حسي يبني مفاهيمه من المادة.,GCompris (البديل الرقمي),تحقيق التآزر الحركي البصري والقدرة على التفكير الحسي المجرد السليم.,
39. طريقة ديكرولي (الاهتمام),التعلم السياقي الوجداني,1. تحديد مركز الاهتمام: اختيار موضوع مرتبط بحاجة حيوية للمتعلم (غذاء، مسكن). 2. ملاحظة بيئية: جمع معلومات وصور من البيئة المحيطة حول مركز الاهتمام المختار. 3. ربط تداعي: ربط الموضوع بالعلوم والرياضيات والتاريخ واللغة بشكل طبيعي وتلقائي. 4. تجريب تعبيري: التعبير عن الفهم من خلال الرسم أو الكتابة أو العمل اليدوي المنتج. 5. استخلاص معنى كلي: تكامل المعرفة الإنسانية حول موضوع واحد (مركز الاهتمام).,المعلم: موجه اهتمامات ومنسق أنشطة. المتعلم: باحث شمولي يربط العلم بالواقع المعاش.,Padlet,تطوير التفكير الشمولي والقدرة الفائقة على الربط بين العلوم والواقع اليومي.,
40. طريقة كيلباتريك (المشاريع),التعلم الإنتاجي الهادف,1. قصد المشروع: تحديد غرض واضح ومحبب ونابع من رغبة المتعلم في الإنتاج. 2. تخطيط إجرائي: رسم خطوات التنفيذ العملية وتحديد المواد والموارد والزمن اللازم. 3. تنفيذ ميداني: العمل اليدوي أو البحثي الفعلي لإنجاز مخرجات المشروع المخطط لها. 4. ملاحظة تقويمية: فحص جودة المنتج النهائي مقابل الخطة الأصلية والمعايير الموضوعة. 5. خبرة إنتاجية: استعراض المنتج النهائي وتحديد الدروس المهنية المستفادة من العمل.,المعلم: مستشار موارد ومقيم جودة. المتعلم: منتج ومخطط ومدير لدورة حياة المشروع بالكامل.,Microsoft Project,إتقان مهارات التخطيط والتنفيذ والإنتاج المادي أو المعرفي الملموس بنجاح.,
41. طريقة هيربارت (الخماسية),الواقعية التربوية (الارتباط المعرفي),1. التمهيد: إثارة اهتمام المتعلم وربط الدرس الجديد بخبراته ومعارفه السابقة. 2. العرض: تقديم المادة العلمية الجديدة بوضوح تام وتدرج منطقي من السهل للصعب. 3. الربط: مقارنة المعلومات الجديدة بالقديمة لإيجاد نقاط التشابه والارتباط الوثيق. 4. التعميم: استنباط القاعدة العامة أو القانون الكلي من خلال الأمثلة المعروضة. 5. التطبيق: حل تمارين وتطبيقات عملية متنوعة لترسيخ القاعدة في الذهن بالكامل.,المعلم: منظم خطي ومنسق ارتباطات. المتعلم: متلقٍ نشط يبني المعرفة بشكل تتابعي.,Genially,القدرة الفائقة على بناء وتنظيم المعرفة بشكل تتابعي ومنطقي سليم ومترابط.,
42. طريقة التدريس السمعي,البنيوية اللغوية (التكرار السلوكي),1. استماع: تعريض أذن المتعلم للنماذج الصوتية الصحيحة (الحرف أو الكلمة) بكثافة. 2. محاكاة: ترديد المتعلم للنماذج الصوتية المسموعة بدقة متناهية ومطابقة تامة. 3. تدريب هيكلي: تكرار القوالب اللغوية مع تغيير طفيف (الاستبدال) لترسيخ البناء. 4. ربط صرفي: فهم العلاقة المنطقية بين الصوت المسموع والرمز المكتوب المقابل له. 5. إنتاج موجه: استخدام القالب اللغوي المكتسب في سياق تواصل بسيط ومحدد بدقة.,المعلم: نموذج صوتي ومصحح نطق. المتعلم: محاكي دقيق يسعى لضبط الملكة اللغوية.,Audacity,ضبط الملكة اللغوية ودقة النطق وحفظ التراكيب اللغوية الأساسية بشكل آلي.,
43. طريقة التدريس البصري,واقعية الحواس (كومينيوس),1. ملاحظة: عرض الوسيلة البصرية (صورة، مجسم، فيديو) للمفهوم المراد تعلمه. 2. تسمية: ربط الرمز البصري المعروض بالاسم اللفظي المباشر له بشكل فوري. 3. تمييز: مقارنة بصرية دقيقة بين مفاهيم متشابهة في الشكل لضبط الفروق (ب مقابل ت). 4. تجريد بصري: الانتقال التدريجي من الصورة الواقعية الملونة إلى الرمز المجرد الصرف. 5. تمثيل: قيام المتعلم برسم أو محاكاة الرمز بصرياً للتأكد من انطباع الصورة في الذهن.,المعلم: موفر مثيرات بصرية ومنسق انتباه. المتعلم: مدرك بصري يفك الرموز بدقة.,Pinterest / Google Images,تطوير الإدراك المكاني والقدرة على فك رموز اللغة والرياضيات بصرياً بنجاح.,
43. طريقة التدريس البصري,واقعية الحواس (كومينيوس),1. ملاحظة: عرض الوسيلة البصرية (صورة، مجسم، فيديو) للمفهوم المراد تعلمه. 2. تسمية: ربط الرمز البصري المعروض بالاسم اللفظي المباشر له بشكل فوري. 3. تمييز: مقارنة بصرية دقيقة بين مفاهيم متشابهة في الشكل لضبط الفروق (ب مقابل ت). 4. تجريد بصري: الانتقال التدريجي من الصورة الواقعية الملونة إلى الرمز المجرد الصرف. 5. تمثيل: قيام المتعلم برسم أو محاكاة الرمز بصرياً للتأكد من انطباع الصورة في الذهن.,المعلم: موفر مثيرات بصرية ومنسق انتباه. المتعلم: مدرك بصري يفك الرموز بدقة.,Pinterest / Google Images,تطوير الإدراك المكاني والقدرة على فك رموز اللغة والرياضيات بصرياً بنجاح.,
,التربية الطبيعية (الحركة هي التعلم),1. تلمس حس-حركي: الإحساس الفيزيائي بالمفهوم (مثل لمس حروف بارزة أو مجسمات). 2. حركة مصاحبة: ربط المفهوم المجرد بحركة جسدية تعبيرية (تمثيل شكل الرقم بالجسم). 3. تخطيط مكاني: رسم مسارات المفهوم في الهواء أو على الرمل لربط العضلات بالذهن. 4. ترميز حركي: أداء خطوات إجرائية حركية متسلسلة لعملية رياضية أو لغوية معقدة. 5. بناء إبداعي: تشكيل المفهوم باستخدام أدوات مادية (صلصال، مكعبات) لتثبيت الصورة.,المعلم: منشط حركي ومصمم بيئة. المتعلم: متعلم حركي يدمج جسده في عملية التعلم.,Osmo,تحقيق التآزر الحركي وربط العمليات العقلية المجردة بالحركة الفيزيائية الملموسة.,44. طريقة التدريس الحركي
45. القراءة والمناقشة,الفلسفة الإنسانية (النص كمصدر),1. قراءة صامتة: المسح الأولي للنص المكتوب لاستكشاف المعنى العام والأفكار. 2. قراءة جهرية: ضبط مخارج الحروف والنطق ومراعاة علامات الترقيم في القراءة. 3. تفكيك مفردات: شرح المعاني اللغوية والسياقية للكلمات الصعبة داخل النص. 4. مناقشة تحليلية: طرح أسئلة عميقة حول الأفكار والقيم والأهداف المتضمنة في النص. 5. تلخيص ختامي: إعادة صياغة النص أو الفكرة بأسلوب المتعلم الخاص وبكلماته.,المعلم: ضابط نطق ومحلل نصوص. المتعلم: قارئ ناقد ومحلل للمعاني المستنبطة من النص.,Perusall,تطوير الاستيعاب القرائي والقدرة على استخراج المعاني العميقة من النصوص المعقدة.,
46. التعليم بمساعدة الحاسوب (CAI),التعليم المبرمج (السلوك الرقمي),1. مثير (Prompt): عرض معلومة قصيرة أو سؤال محدد جداً على شاشة الحاسوب. 2. استجابة: قيام المتعلم بإدخال الإجابة أو التفاعل المباشر مع المثير الرقمي المعروض. 3. تغذية راجعة: ظهور نتيجة الاستجابة (صواب أو خطأ) فورياً وبشكل تلقائي للمتعلم. 4. تفريع (Branching): توجيه المتعلم لمسار علاجي أو إثرائي بناءً على طبيعة رده. 5. تقدم: الانتقال التلقائي للوحدة التعليمية التالية بعد إثبات إتقان الوحدة الحالية.,المعلم: مصمم برامج ومراقب بيانات. المتعلم: مستجيب رقمي يتعلم ذاتياً عبر الآلة.,Khan Academy,تحقيق الاستقلالية المعرفية الكاملة والقدرة على التعلم الذاتي المنظم تقنياً.,
47. طريقة إتقان التعليم,النظرية المعيارية (الجميع يتقن),1. تشخيص قبلي: تحديد مستوى المتعلم المعرفي قبل البدء بدراسة الوحدة التعليمية. 2. تدريس جماعي: تقديم المحتوى الأساسي والمهارات للجميع بأساليب متنوعة ومشوقة. 3. تقويم تكويني: إجراء اختبار قصير لتحديد من أتقن المعيار ومن لا يزال متعثراً فيه. 4. تعليم علاجي: تقديم استراتيجيات بديلة ووقت إضافي لمن لم يتقن المعيار بعد. 5. تقويم ختامي: التأكد من وصول جميع الطلاب لمستوى الإتقان (80% فأكثر) بنجاح.,المعلم: ضابط معايير وموفر بدائل علاجية. المتعلم: متعلم جاد يهدف للإتقان.,Socrative,ضمان الكفاية الأكاديمية التامة وعدم وجود أي فجوات في المهارات التأسيسية.,
48. الاستدلال الرياضي,العقلانية الرياضية (إقليدس),1. تحديد معطيات: رصد وفهرسة المعلومات والبيانات المتوفرة في المسألة الرياضية. 2. استحضار بديهيات: استدعاء القواعد والقوانين والنظريات الرياضية المرتبطة بالحالة. 3. ربط استنتاجي: إجراء العمليات المنطقية للانتقال من المعطيات إلى المجهول المطلوب. 4. برهنة: كتابة خطوات الحل بوضوح تام وتسلسل منطقي صارم يبرهن على النتيجة. 5. تحقق من معقولية: اختبار صحة النتيجة النهائية في سياق المسألة والواقع الرياضي.,المعلم: مبرهن منطقي وموجه استنتاج. المتعلم: مفكر تجريدي ومحلل لمشكلات منطقية.,GeoGebra,تطوير المنطق الرياضي والقدرة الفائقة على التفكير التجريدي وحل المشكلات بنجاح.,
49. البحث الوثائقي,التجريبية والتوثيق التاريخي,1. تحديد مصدر: اختيار الوثيقة أو الكتاب الأصلي المرتبط بموضوع البحث التاريخي. 2. نقد خارجي: التأكد من صحة المصدر وزمنه ومؤلفه لضمان عدم التزوير أو الخطأ. 3. نقد داخلي: تحليل محتوى الوثيقة ومقارنة الحقائق الواردة فيها مع مصادر أخرى. 4. توليف معرفي: ربط المعلومات المستقاة من عدة وثائق لبناء صورة كاملة عن الحدث. 5. صياغة استنتاج: كتابة التقرير النهائي المبني كلياً على الأدلة الوثائقية الموثوقة.,المعلم: مدقق وثائق وموجه نقد. المتعلم: باحث تاريخي وناقد للمصادر والوثائق.,Archive.org,تطوير التفكير التاريخي والقدرة على نقد المصادر وبناء الحجج الموثقة بالأدلة.,
50. طريقة الملاحظة المباشرة,التربية الطبيعية (معاينة الواقع),1. تحديد هدف: ما الذي نريد ملاحظته بدقة في البيئة الواقعية (سلوك، ظاهرة)؟ 2. تسجيل أولي: تدوين المشاهدات الخام فور حدوثها دون إطلاق أي أحكام مسبقة. 3. تصنيف وربط: وضع الملاحظات في فئات منطقية (سلوك، لون، حجم، تكرار). 4. بناء فرضية: محاولة تفسير سبب أو علة حدوث ما تم ملاحظته بدقة في الميدان. 5. تحقق بالمتابعة: تكرار عملية الملاحظة للتأكد من ثبات الظاهرة المرصودة وصحتها.,المعلم: راصد معياري وموجه انتباه. المتعلم: باحث طبيعي ودقيق في رصد التفاصيل.,iNaturalist,تحقيق الدقة العلمية في الرصد والأمانة في النقل والربط بين الظواهر وبيئتها.,
51. التعلم عبر التصميم (LbD),هندسة التعلم (البنائية): تحويل المشكلات إلى مشاريع تصميمية ملموسة.,1. تحديد الحاجة: رصد مشكلة واقعية تتطلب حلاً تقنياً أو هندسياً. 2. التخطيط التصميمي: رسم مخططات أولية (Blueprints) للحل المقترح. 3. بناء النموذج: إنشاء نسخة أولية (Prototype) من مواد بسيطة أو رقمية. 4. الاختبار النقدي: فحص فعالية النموذج ورصد الثغرات الوظيفية. 5. التطوير الابتكاري: تعديل التصميم بناءً على نتائج الاختبار للوصول للمنتج النهائي.,المعلم: موجه تقني وضابط قيود. المتعلم: مهندس ومصمم ومطور حلول.,Tinkercad,إنتاج منتج مادي أو رقمي يحقق وظيفة محددة ويحل المشكلة الأصلية.,
52. الكرسي الساخن (Hot Seat),التعلم الاجتماعي (التقمص): فهم الأبعاد النفسية والفكرية للشخصيات.,1. اختيار الشخصية: تحديد محور الدرس (شخصية تاريخية أو مفهوم علمي مجسد). 2. توزيع الأدوار: طالب يتقمص الشخصية والباقي يمثلون المحققين والباحثين. 3. الأداء الاستجوابي: مواجهة الشخصية بأسئلة عميقة حول دوافعها وأفكارها وتاريخها. 4. المراجعة التحليلية: نقد إجابات الشخصية ومدى مطابقتها للحقائق العلمية أو التاريخية. 5. تطوير السيناريو: كتابة تقرير يجمع الدروس المستفادة من الحوار الدرامي.,المعلم: مخرج وميسر للحوار. المتعلم: متقمص للشخصية أو محقق يبحث عن الحقيقة.,Zoom / Flip,تقرير تشخيصي لشخصية المفهوم يكشف عن أبعاده الخفية والوجدانية.,
53. التعلم النشط بأسلوب LQA,المعرفة النشطة: تحويل الاستماع السلبي إلى اشتباك معرفي تساؤلي.,1. التخطيط الاستماعي: استماع مركز لمصدر معلومات (فيديو أو محاضرة قصيرة). 2. هندسة التساؤل (Q): صياغة أسئلة بحثية من قبل الطلاب حول النقاط الغامضة. 3. التنفيذ الإجرائي (A): الإجابة المتبادلة بين الأقران بناءً على ما تم استيعابه من النص. 4. المراجعة النقدية: فرز الإجابات الصحيحة وتصحيح المغالطات المنطقية بمساعدة المعلم. 5. تطوير المعنى: بناء ملخص نهائي يربط الأسئلة والأجوبة بالهدف الأصلي للدرس.,المعلم: ضابط محتوى ومصحح مسار. المتعلم: مستمع نشط وسائل ومجيب.,InsertLearning,خريطة معرفية متكاملة الأسئلة والأجوبة تغطي كافة جوانب الموضوع.,
54. التدريس المباشر (Direct Instruction),السلوكية الإجرائية (النمذجة): إتقان المهارات عبر المحاكاة المنضبطة.,1. التخطيط المنهجي: وضع أهداف سلوكية شديدة الدقة والوضوح قابلة للقياس. 2. النمذجة العلنية: قيام المعلم بأداء المهارة كسيناريو معياري أمام الطلاب. 3. التنفيذ الموجه: ممارسة الطالب للخطوات تحت رقابة وتوجيه هندسي صارم من المعلم. 4. المراجعة التصحيحية: تقديم تغذية راجعة فورية لتعديل الانحرافات في الأداء. 5. التطوير للإتقان: الممارسة المستقلة المتكررة حتى الوصول لدرجة الآلية والإتقان في الأداء.,المعلم: مدرب ونموذج ومصحح. المتعلم: متدرب يسعى لمحاكاة النموذج المعياري بدقة.,Canvas LMS,أداء مهاري دقيق وخالٍ من الأخطاء للمهارة المستهدفة.,
55. التعلم المعتمد على الأدلة,الواقعية التحليلية: بناء القناعات العلمية على أساس البرهان والتوثيق.,1. تحديد الادعاء: وضع فرضية تعليمية أو ادعاء تاريخي/علمي يحتاج إلى برهان. 2. توزيع مهام البحث: تقسيم الطلاب لفرق لجمع الأدلة من مصادر متنوعة وموثوقة. 3. التنفيذ الاستدلالي: بناء الحجة المنطقية بربط الدليل المكتشف بالفرضية الأصلية. 4. المراجعة النقدية: فحص قوة الأدلة ومواجهتها بأدلة مضادة أو نقد منهجية جمعها. 5. تطوير الحكم: صياغة الاستنتاج النهائي المدعوم بالبيانات والأدلة القطعية.,المعلم: مرشد بحثي ومقيم للمصادر. المتعلم: باحث أدلة ومحلل منطقي ومنقب عن الحقائق.,Google Scholar,ورقة موقف (Position Paper) مدعومة بأدلة موثقة أكاديمياً بنسبة 100%.,
56. شبكة الأسئلة (Question Net),التفكير النظمي (الهندسة الشبكية): فهم ترابط المعرفة وتفرعها.,1. التخطيط المعماري: وضع السؤال المركزي الجوهري في مركز الشبكة البصرية. 2. توزيع المحاور: توليد أسئلة فرعية (عقد) ترتبط منطقياً بالسؤال المركز. 3. التنفيذ الربطي: إيجاد علاقات منطقية وتداخلات بين الأسئلة الفرعية وبعضها البعض. 4. المراجعة الهيكلية: فحص تماسك الشبكة والتأكد من عدم وجود فجوات معرفية في التفرعات. 5. تطوير الإجابة: ملء العقد بالإجابات المستقصاة لتشكيل بناء معرفي كامل وشامل.,المعلم: مهندس للشبكة ومحفز للتفرع. المتعلم: ناظم معرفي وباحث عن الروابط.,Padlet,لوحة هيكلية (Diagram) تظهر ترابط المعلومات وتفرعها المنطقي.,
57. التعلم المتنقل (Mobile Learning),النظرية الاتصالية (السياقية): التعلم في أي مكان وزمان عبر الأجهزة الذكية.,1. تخطيط المسار: تحديد المهام التعليمية المرتبطة بمواقع حقيقية خارج غلاف الصف. 2. توزيع الأدوات: تجهيز الهواتف أو الأجهزة اللوحية بتطبيقات الرصد والاتصال. 3. التنفيذ الميداني: جمع البيانات والصور والوثائق أثناء الحركة في السياق الواقعي. 4. المراجعة السحابية: رفع المكتشفات فورياً للمنصة لمناقشتها لحظياً مع الفريق والمعلم. 5. تطوير المخرج: دمج البيانات الميدانية في تقرير رقمي متكامل يوثق التجربة.,المعلم: مصمم مسارات ومتابع سحابي. المتعلم: متعلم جوال وراصد ميداني ومنتج رقمي.,Actionbound,ملف رقمي (E-Portfolio) يوثق رحلة التعلم في سياقها الواقعي.,
58. التفكير بصوت عالٍ (Think-Aloud),ما وراء المعرفة (الدراما الذهنية): كشف العمليات العقلية الخفية.,1. تخطيط المهمة: اختيار مشكلة معقدة تتطلب خطوات تفكير عليا وتحليل دقيق. 2. توزيع الأدوار: طالب يؤدي دور (المفكر بصوت عالٍ) والآخر يؤدي دور (المراقب والمدون). 3. الأداء المعرفي: نطق كل الأفكار والشكوك والقرارات والافتراضات أثناء عملية الحل. 4. المراجعة النقدية: تحليل دراما التفكير المسجلة لاكتشاف العوائق والتحيزات الذهنية. 5. تطوير الاستراتيجية: صياغة مسار تفكير محسن ومصحح للمهمات المستقبلية المشابهة.,المعلم: محلل للعمليات الذهنية. المتعلم: مؤدٍ معرفي يكشف عن عوارض تفكيره.,Loom / Flip,خريطة تدفق ذهني (Mental Flowchart) توضح مسار التفكير السليم للمشكلة.,
59. التعلم الموقفي (Situated Learning),الواقعية البيئية: التعلم داخل سياقات مهنية تحاكي الواقع تماماً.,1. تصميم السياق: بناء بيئة (فيزيائية أو افتراضية) تحاكي موقع عمل حقيقي. 2. توزيع المهام المهنية: منح الطلاب أدواراً ومسؤوليات حقيقية داخل هذا السياق. 3. التنفيذ الأدائي: ممارسة المهام المهنية والاجتماعية كما تحدث في الواقع الفعلي. 4. المراجعة الواقعية: تقييم الأداء بناءً على معايير الجودة المهنية لا الدرجات التقليدية. 5. تطوير الكفاءة: تكرار الأداء وتجويده لتحسين الاستجابات في المواقف المهنية الصعبة.,المعلم: مشرف مهني ومدير للسياق. المتعلم: ممارس مهني يسعى لاكتساب الكفاءة.,Minecraft Education,محاكاة ناجحة لموقف مهني يثبت نقل أثر التعلم من النظرية للواقع.,
60. زوايا الصف (Four Corners),التعلم الحركي الجدلي: ربط الموقف الفكري بالحركة الفيزيائية.,1. التخطيط الجدلي: طرح قضية أو سؤال له أربعة أبعاد أو آراء مختلفة ومتباينة. 2. تحديد الزوايا: وضع لافتات في زوايا الغرفة تمثل كل وجهة نظر أو خيار متاح. 3. الأداء الحركي: انتقال الطلاب فيزيائياً للزاوية التي تمثل رأيهم الشخصي أو قرارهم. 4. المراجعة الحوارية: مناقشة كل مجموعة لحججها ومواجهة الزوايا الأخرى لإقناعهم. 5. تطوير الموقف: إمكانية انتقال الطالب لزاوية أخرى إذا تغيرت قناعته بعد سماع الحوار.,المعلم: مدير للجدل ومنظم للحركة. المتعلم: مفاوض فكري ومدافع عن رأيه ميدانياً.,Mentimeter,بيان موقف (Manifesto) جماعي يعكس القدرة على الحوار والإقناع الفكري.,
61. التعلم القائم على السيناريو,اتخاذ القرار الأخلاقي: مواجهة معضلات الواقع في بيئة آمنة.,1. الاشتباك: عرض موقف حياتي معقد يتضمن معضلة أخلاقية أو مهنية. 2. التفكيك: تحديد الخيارات المتاحة وتبعات كل خيار عاطفياً ومادياً. 3. الاستجابة: تقمص دور صاحب القرار والتعبير عن المشاعر المصاحبة للقرار. 4. بناء الرأي: اختيار مسار الحل وتبريره قيمياً ومنطقياً أمام الأقران. 5. التطبيق: محاكاة السيناريو المختار ورصد النتائج المترتبة على القرار المتخذ.,المعلم: مصمم سيناريوهات وميسر. المتعلم: صانع قرار ومحلل لتبعات الأفعال.,BranchTrack,الحكمة العملية: القدرة على التنبؤ بتبعات القرارات في المواقف البشرية.,
62. استراتيجية SQ3R المتقدمة,الهيكلة المعرفية العميقة: الانتقال من القراءة الآلية للاستيعاب التحليلي.,1. تصفح (Survey): اشتباك أولي مع العناوين والصور لتوليد توقعات عاطفية وفكرية. 2. تساؤل (Question): تحويل العناوين الرئيسية لأسئلة تثير الفضول والبحث الشخصي. 3. قراءة (Read): تفكيك النص بعمق بحثاً عن إجابات وسد الفجوات المعرفية المرصودة. 4. تسميع (Recite): صياغة الرأي الشخصي حول ما تم فهمه لفظياً وبكلمات المتعلم الخاصة. 5. مراجعة (Review): تطبيق الأفكار المستخلصة من النص في سياقات جديدة ومختلفة.,المعلم: موجه استراتيجيات قرائية. المتعلم: قارئ سيادي ومحلل للبنى النصية.,Kami,السيادة القرائية: القدرة على استخراج البنى العميقة والمضامين الخفية للنصوص.,
63. التعلم بالتجربة (Experiential),الانعكاس الذاتي (Reflective Learning): تحويل الفعل المادي لخبرة واعية.,1. الاشتباك: الانخراط الفعلي في تجربة ملموسة (حسية أو اجتماعية أو علمية). 2. التفكيك: تحليل المشاعر والأفكار وردود الفعل التي ظهرت أثناء التجربة. 3. الاستجابة: ربط التجربة الشخصية بالنظريات العلمية المجردة أو القيم الإنسانية. 4. بناء الرأي: تقييم الذات وتحديد نقاط القوة ونقاط النمو الشخصي المكتشفة. 5. التطبيق: وضع خطة عمل عملية لتطبيق الخبرة المكتسبة في مواقف حياتية مستقبلية.,المعلم: ميسر للتأمل (Coach). المتعلم: منعكس ذاتياً ومحول للفعل إلى معرفة.,CoSpaces Edu,الوعي الذاتي: قدرة المتعلم على تحويل الأفعال العفوية لخبرات حكمية (Wisdom).,
64. استراتيجية أعواد المثلجات,الأمان النفسي والعدالة: ضمان تكافؤ الفرص في المشاركة الذهنية.,1. الاشتباك: طرح سؤال مركزي محفز للتفكير العالي ومفتوح النهايات (Open-ended). 2. الانتظار: منح 'وقت تفكير' صامت كافٍ لجميع الطلاب لتقليل التوتر العاطفي. 3. الاستجابة: سحب عود عشوائي يحمل اسم الطالب لضمان عدالة المشاركة والشمول. 4. بناء الرأي: تشجيع الطالب المختار على التعبير عن فكره الشخصي دون ضغوط. 5. التطبيق: تعزيز الاستجابة إيجابياً وربطها بإجابات الزملاء لبناء المعنى الجماعي.,المعلم: ضابط عدالة ومنظم مشاركة. المتعلم: واثق وجدانياً وجاهز للمساهمة.,Wheel of Names,الثقة الوجدانية: خفض مستويات القلق الاجتماعي المرتبط بالمشاركة الصفية.,
65. التعلم التكيفي (Adaptive Learning),المرونة المشخصنة: احترام الفروق الفردية في وتيرة النمو المعرفي.,1. الاشتباك: إجراء اختبار قبلي ذكي يحدد المستوى المعرفي والحالة الوجدانية. 2. التفكيك: تحليل البيانات لتصميم مسار تعليمي يتناسب مع سرعة وقدرة المتعلم. 3. الاستجابة: تقديم محتوى تعليمي يتدرج في الصعوبة بناءً على النجاحات السابقة. 4. بناء الرأي: منح المتعلم خيارات مستقلة في نوعية المهام لتعزيز استقلالية القرار. 5. التطبيق: المراقبة المستمرة للأداء وتعديل المسار آلياً لضمان عدم حدوث إحباط.,المعلم: مصمم مسارات ومحلل بيانات. المتعلم: متعلم مستقل يسير وفق وتيرته.,DreamBox / Knewton,الإتقان الشخصي: وصول كل متعلم للهدف النهائي بكفاءة وبدون مقارنة سلبية.,
66. الظهر بالظهر (Back-to-Back),التواصل التعاطفي والدقيق: إدراك الفجوة بين اللفظ والتصور الذهني.,1. الاشتباك: جلوس طالبين بظهرين متلاصقين لعزل حاسة البصر وتركيز السمع. 2. التفكيك: قيام الطالب (أ) بوصف نص معقد أو صورة بدقة وجدانية ومادية. 3. الاستجابة: قيام الطالب (ب) برسم أو تخيل الموصوف بناءً على الوصف اللفظي. 4. بناء الرأي: مقابلة النتيجتين وتحليل فجوات التواصل العاطفي واللفظي بينهما. 5. التطبيق: إعادة التمرين مع تبادل الأدوار لتحسين دقة الوصف ومهارات السمع النشط.,المعلم: مراقب جودة تواصل. المتعلم: متواصل دقيق ومستمع متعاطف.,Whiteboard.fi,الدقة التواصلية: تنمية القدرة على 'رؤية' ما يراه الآخر من خلال الكلمات فقط.,
67. التعلم الوجداني (Affective Learning),الذكاء العاطفي (SEL): تنظيم الانفعالات كوقود للعمليات الذهنية.,1. الاشتباك: عرض قضية إنسانية تثير استجابة عاطفية قوية (مثل الظلم أو النجاح). 2. التفكيك: تحديد وتسمية المشاعر (Emotion Labeling) الظاهرة في الموقف بدقة. 3. الاستجابة: ممارسة التعاطف المعرفي بوضع النفس مكان الشخصية في الموقف. 4. بناء الرأي: مناقشة القيم الإنسانية الكامنة خلف الاستجابات العاطفية المرصودة. 5. التطبيق: اتخاذ فعل سلوكي واقعي يجسد القيمة (مثل كتابة رسالة شكر أو اعتذار).,المعلم: مرشد وجداني (Mentor). المتعلم: ناضج وجدانياً ومدرك لمشاعره.,Affectiva,النضج الوجداني: القدرة على تنظيم الانفعالات وتوجيهها نحو فعل قيمي بناء.,
68. المفاهيم الكرتونية (Cartoons),الزعزعة المعرفية البصرية: فحص التصورات البديلة بأسلوب ممتع.,1. الاشتباك: عرض رسم كرتوني يطرح آراء متناقضة حول مفهوم علمي أو قيمي. 2. التفكيك: تحليل الحجج المنطقية الكامنة خلف كل شخصية كرتونية في الرسم. 3. الاستجابة: اختيار الشخصية التي تمثل رأي المتعلم والتعبير عن شعوره تجاهها. 4. بناء الرأي: البحث عن أدلة علمية أو واقعية لتفنيد الآراء الخاطئة في الكرتون. 5. التطبيق: إعادة رسم أو كتابة حوار الكرتون بناءً على الفهم الصحيح والمثبت.,المعلم: مستفز فكرياً (Provocateur). المتعلم: ناقد بصري وفاحص ادعاءات.,Pixton,التفكير الناقد: القدرة على فحص الآراء الشائعة بنظرة نقدية علمية وبصرية.,
69. الاستكشاف الموجه (Guided Discovery),المبادرة المعرفية (برونر): التوازن بين حرية البحث ودقة التوجيه.,1. الاشتباك: تقديم لغز أو 'فجوة' معرفية تتطلب حلاً استكشافياً نشطاً. 2. التفكيك: تقديم 'سقالات' تعليمية (Scaffolding) تحث على التفكير دون إعطاء الحل. 3. الاستجابة: محاولة المتعلم لربط المعطيات المتاحة وتسجيل محاولات النجاح والفشل. 4. بناء الرأي: صياغة التفسير الشخصي الخاص للاكتشاف الذي تم التوصل إليه. 5. التطبيق: تعميم القاعدة المستكشفة على مواقف علمية أو حياتية مشابهة وجديدة.,المعلم: مهيئ بيئة وموجه. المتعلم: مستكشف مبادر ومحلل فجوات.,Exploratorium,المبادرة المعرفية: تنمية روح الاستكشاف وعدم الخوف من ارتكاب أخطاء تعلم.,
