الرقم والاسم,النظرية التربوية,الخماسية الإجرائية الكاملة,الأداة التقنية,معيار النجاح/الأثر
59. التعلم الموقفي (Situated Learning),البنائية السياقية,1. ينغمس: الدخول في بيئة تحاكي الواقع (مثل بنك). 2. يتفاعل: ممارسة مهام حقيقية مع خبراء أو أقران. 3. يكتسب: تعلم المصطلحات والمهارات داخل سياقها. 4. ينتج: حل مشكلة واقعية تفرضها البيئة. 5. ينقل: تطبيق المهارة في بيئة حقيقية خارج الفصل.,Minecraft Education Edition,ربط المعرفة بالمواطنة العالمية والمهارات الحياتية
60. زوايا الصف (Four Corners),التعلم الحركي (Kinesthetic),1. يقرر: سماع رأي أو قضية جدلية. 2. يتحرك: الذهاب للزاوية التي تمثل رأيه. 3. يناقش: بناء حجة مع المجموعة الموجودة في الزاوية. 4. يدافع: عرض الحجة أمام أصحاب الزوايا الأخرى. 5. يراجع: إمكانية تغيير الزاوية إذا اقتنع بحجة أخرى.,بطاقات ملونة مادية/رقمية,تطوير مهارات التفاوض واتخاذ القرار والذكاء الحركي
61. التعلم القائم على السيناريو,البنائية الاجتماعية / التفكير الاحتمالي,1. التموضع: وضع الطالب في مأزق واقعي. 2. الاستكشاف: البحث عن بدائل للحل. 3. الاختيار: اتخاذ قرار بناءً على المعطيات. 4. المواجهة: تلقي تبعات القرار داخل السيناريو. 5. المراجعة: تحليل الأخطاء المنطقية والوجدانية.,BranchTrack,تعزيز القدرة على اتخاذ القرار تحت الضغط والحكمة العملية
62. استراتيجية SQ3R القرائية,نظرية المخطط العقلي (Schema Theory),1. تصفح النص (Survey): مسح العناوين والصور. 2. صياغة الأسئلة (Question): تحويل العناوين لأسئلة. 3. القراءة المتعمقة (Read): البحث عن إجابات للأسئلة. 4. التسميع الذاتي (Recite): استرجاع المعلومات شفهياً. 5. المراجعة النهائية (Review): ربط الأجزاء بالكل.,Kami,رفع كفاءة الاستيعاب القرائي وتحويله لعملية تحليلية
63. التعلم بالتجربة (Experiential Learning),دورة كولب (Kolb's Cycle),1. الخبرة: الانخراط في نشاط ملموس. 2. التأمل: ملاحظة ما حدث خلال النشاط. 3. المفهمة: صياغة قواعد عامة من التجربة. 4. التجريب: تطبيق القواعد في موقف جديد. 5. الدمج: تحويل التجربة إلى جزء من نظام القيم.,CoSpaces Edu,تقليل الفجوة بين النظرية والتطبيق وتعزيز الثقة
64. استراتيجية أعواد المثلجات,علم النفس السلوكي (العدالة التوزيعية),1. التحضير: تدوين الأسماء على الأعواد. 2. المثير: طرح سؤال مثير للتفكير العالي. 3. السحب: اختيار الاسم عشوائياً لضمان الشمول. 4. الانتظار: منح وقت تفكير كافٍ (Wait Time). 5. التعزيز: تقديم تغذية راجعة داعمة للإجابة.,Wheel of Names,خفض القلق الاجتماعي وضمان المشاركة العادلة
65. التعلم التكيفي (Adaptive Learning),الذكاء الاصطناعي التربوي,1. التشخيص: قياس مستوى الطالب القبلي. 2. التفريد: إنشاء مسار تعليمي خاص بكل طالب. 3. التفاعل: تقديم محتوى يتناسب مع سرعة الفهم. 4. المراقبة: تتبع نقاط القوة والضعف لحظياً. 5. التعديل: تغيير وتيرة الصعوبة آلياً.,DreamBox / Knewton,تلبية الاحتياجات الفردية بدقة وتقليل الإحباط التعليمي
66. الظهر بالظهر (Back-to-Back),الاتصالية / معالجة اللغة,1. الازدواج: جلوس طالبين بظهرين متلاصقين. 2. الوصف: الطالب (أ) يصف نصاً أو صورة. 3. الرسم: الطالب (ب) يرسم أو يكتب بناءً على الوصف. 4. المطابقة: مقارنة النتيجة بالأصل. 5. التحليل: مناقشة معوقات التواصل اللغوي.,Whiteboard.fi,تطوير الدقة اللغوية ومهارات الاستماع النشط والتخيل
67. التعلم الوجداني (Affective Learning),الذكاء العاطفي (دانيال جولمان),1. الوعي: التعرف على المشاعر المصاحبة للنص. 2. التحكم: تنظيم الانفعالات تجاه القضايا الجدلية. 3. التحفيز: ربط المحتوى بالأهداف الشخصية. 4. التعاطف: تبني وجهة نظر الآخر في النص. 5. التوجيه: استخدام العاطفة لحل النزاعات الصفية.,Affectiva,بناء الشخصية المتزنة وزيادة الأمان النفسي
68. المفاهيم الكرتونية (Concept Cartoons),النظرية المعرفية (التصحيح المفاهيمي),1. العرض: تقديم رسم كرتوني يطرح آراء متناقضة. 2. المناقشة: اختيار الطالب للرأي الذي يؤيده. 3. البحث: البحث عن أدلة علمية تدعم الرأي المختار. 4. المواجهة: مناظرة الزملاء أصحاب الآراء المختلفة. 5. الاستنتاج: الوصول للتفسير العلمي الصحيح.,Pixton,كشف التصورات البديلة بأسلوب غير مباشر وممتع
69. الاستكشاف الموجه,البنائية (برونر),1. التهيئة: تقديم معطيات ناقصة أو محيرة. 2. التوجيه: طرح أسئلة إرشادية دون إعطاء الإجابة. 3. المعالجة: ترتيب الطالب للمعطيات لاكتشاف النمط. 4. الصياغة: وضع قاعدة أو قانون يفسر الاكتشاف. 5. التحقق: اختبار القاعدة على أمثلة إضافية.,Exploratorium,تنمية مهارات الاستدلال المنطقي والاستقلالية المعرفية
70. استراتيجية PQ4R لتعميق الفهم,ما وراء المعرفة (Metacognition),1. المعاينة: فحص سريع للنص. 2. التساؤل: وضع أسئلة استباقية. 3. القراءة: قراءة واعية متأنية. 4. التأمل: ربط المعلومة بالخبرات السابقة. 5. التسميع: كتابة النقاط الأساسية من الذاكرة. 6. المراجعة: التقييم النهائي للأهداف.,Evernote,الانتقال للقراءة الناقدة والاستبقاء الدائم للمعلومات
71. التعلم العشوائي المنظم,كسر النمط (Pattern Breaking),1. التعريض: تقديم مثير عشوائي لا علاقة له بالدرس. 2. التداعي: إطلاق العنان للأفكار المرتبطة بالمثير. 3. الربط القسري: إجبار الدماغ على إيجاد علاقة بالموضوع. 4. الاستنتاج: استخراج مفهوم جديد ناتج عن الربط. 5. التثبيت: تدوين الرابط المبتكر في سياق معرفي.,RandomWordGenerator,توليد أفكار أصيلة وكسر الجمود الفكري
72. الاستقصاء بالبيانات,الاستدلال القائم على الدليل,1. الرصد: تجميع بيانات خام حول ظاهرة معينة. 2. التنظيم: تصنيف البيانات في مصفوفات بصرية. 3. التحليل: استخراج الأنماط من وسط الفوضى. 4. التفسير: بناء فرضية تفسر السلوك المستقبلي. 5. التنبؤ: اختبار الفرضية على بيانات جديدة.,Tableau / Google Sheets,تحويل الأرقام الصماء إلى قصة منطقية وتنبؤات
73. لعب الأدوار الرقمي,الخلايا العصبية المرآتية,1. الانغماس: الدخول في بيئة افتراضية بهوية محددة. 2. المحاكاة: اتخاذ قرارات تقنية أو أخلاقية بالبيئة. 3. التفاعل: استجابة النظام الرقمي لقرارات الطالب. 4. المعالجة: تحليل رد الفعل العاطفي والتقني. 5. التعميم: نقل الخبرة الرقمية لسياق العمل الواقعي.,Classcraft,تنمية التعاطف المعرفي والذكاء الرقمي
74. الألعاب اللوحية,المرونة الإدراكية (Working Memory),1. الاستيعاب: فهم القواعد المعقدة والقيود. 2. الاستشراف: توقع خطوات الخصم (نظرية العقل). 3. التخطيط: بناء استراتيجية بعيدة المدى. 4. المناورة: تعديل الخطة بناءً على معطيات اللعبة. 5. التقييم: مراجعة أسباب الربح أو الخسارة استراتيجياً.,Tabletop Simulator,الانتقال من اللعب العشوائي للتفكير الاستراتيجي المسبق
75. التفكير المتوازي,تقليل الحمل المعرفي (Cognitive Load),1. التوجيه: تحديد اتجاه واحد للتفكير (الإيجابيات). 2. التجميع: حشد كل الأفكار في هذا الاتجاه. 3. التحويل: الانتقال الجماعي لاتجاه آخر (المخاطر). 4. المطابقة: وضع مسارات التفكير جنباً إلى جنب. 5. التوليف: اتخاذ قرار نهائي يجمع كل الزوايا.,Mural / Miro,الوصول لقرار جماعي موضوعي خالٍ من الصراعات
76. التعلم الموزع (Spaced Practice),التدعيم التشابكي (Consolidation),1. الترميز: تعلم معلومة مكثفة في جلسة قصيرة. 2. الراحة: ترك مسافة زمنية (نوم أو نشاط مختلف). 3. الاسترجاع: محاولة تذكر المعلومة بعد الفاصل. 4. التكرار: مراجعة المعلومة بجرعات متباعدة. 5. الإتقان: فحص القدرة على الاستدعاء التلقائي.,Anki / Quizlet,استمرار استبقاء المعلومات في الذاكرة طويلة المدى
77. التعلم التبادلي عبر الأقران (PALS),التناغم العصبي الاجتماعي,1. النمذجة: الطالب القوي يؤدي المهارة أمام زميله. 2. التوجيه: الطالب المتعلم يؤدي تحت إرشاد المدرب. 3. التصحيح: تقديم تغذية راجعة فورية بين الأقران. 4. التبادل: عكس الأدوار لترسيخ الفهم. 5. الاستقلالية: أداء المهمة بشكل فردي لكليهما.,Flip,قدرة المتعلم على شرح المفهوم بدقة وتطوير المهارة
78. التعلم القائم على الحالة (Case-based),التفكير الاستقرائي (Inductive),1. المواجهة: قراءة حالة واقعية معقدة وغير مكتملة. 2. التشريح: تفكيك الحالة لعناصرها الأولية. 3. البحث: استدعاء النظريات التي تفسر أحداث الحالة. 4. الحل: اقتراح مسار عمل لحل مشكلة الحالة. 5. التعميم: استخلاص مبدأ عام يطبق على حالات مشابهة.,Canvas Case Studies,القدرة على عزل المتغيرات المؤثرة عن الضوضاء
79. التدريس المصغر (Micro-teaching),التقييم الميتا-معرفي (Feedback Loop),1. التصميم: إعداد درس صغير لمفهوم واحد. 2. الأداء: تقديم الدرس أمام مجموعة صغيرة/كاميرا. 3. التسجيل: توثيق الأداء صوتياً وبصرياً. 4. النقد: تحليل الأداء ذاتياً ومن الزملاء. 5. الإعادة: تقديم الدرس مرة أخرى بناءً على التعديلات.,Edthena / Video Analysis,تقليل الفجوة بين الأداء المتوقع والأداء الفعلي
80. التعلم القائم على الكفاءة,نظام المكافأة (Mastery & Dopamine),1. التحديد: صياغة معيار كفاءة واضح (النتيجة). 2. التشخيص: قياس الفجوة بين المستوى الحالي والكفاءة. 3. المسار الذاتي: توفير مصادر متنوعة للتقدم بالسرعة الذاتية. 4. البرهنة: تقديم دليل ملموس على إتقان الكفاءة. 5. الاعتماد: الانتقال للكفاءة التالية فور الإتقان.,Badgr / Open Badges,تحول الطالب من السؤال عن الدرجة إلى السؤال عن الإتقان
81. استراتيجية التصنيف (Categorizing),التفكير المنطقي (تجريد البيانات),1. تجميع: رفع مجموعة بيانات غير منظمة للسحابة. 2. تجريد: تحديد السمات الجوهرية (Features) لكل عنصر. 3. خوارزمية: استخدام الـ AI لاقتراح تصنيفات أولية. 4. تنقيح: تصحيح الروابط المنطقية يدوياً (Human-in-the-loop). 5. توليد: إنتاج شجرة تصنيف هرمية محكمة.,Google AutoML,خلو الفئات من التداخل والوصول لشمولية تصنيفية
82. التعلم السحابي (Cloud-Based),النظرية الاتصالية (Connectivism),1. مزامنة: إنشاء بيئة عمل تشاركية لحظية. 2. بروتوكول: تحديد صلاحيات التحرير والتعليق للفريق. 3. تواصل: استخدام الـ Comments لإدارة الحوار المعرفي. 4. أرشفة: تتبع سجل التعديلات لتحليل التطور. 5. نشر: تصدير المنتج النهائي كأصل رقمي مشترك.,Google Workspace / MS 365,وجود سجل تعديلات يثبت مساهمة كل فرد في الفريق
83. التوليد الذاتي (Self-Generation),التوليد المعرفي (Generative AI),1. تلقين: إدخال مفاهيم أساسية للنموذج الذكي. 2. هندسة: صياغة أمر (Prompt) يطلب توليد أسئلة. 3. معالجة: قيام الطالب بحل المخرجات المولدة ذاتياً. 4. تحقق: مقارنة حلول الطالب مع معايير الآلة. 5. توليف: صياغة ملخص نهائي يدمج الخبرتين.,Gemini / ChatGPT,إنتاج الطالب لأمثلة أصيلة لم تكن في قاعدة البيانات
84. التعلم القائم على التقييم,التقييم من أجل التعلم (Data-Driven),1. فحص: إجراء تقييم قبلي رقمي سريع. 2. تحليل: استخدام لوحة البيانات لرصد الفجوات. 3. توجيه: تخصيص محتوى علاجي بناءً على الأخطاء. 4. إعادة: تنفيذ تقييم نمائي بعد المعالجة. 5. انعكاس: تحليل الطالب لنموه المعرفي بالرسوم البيانية.,Quizizz / Socrative,تقليص فجوة الأداء بين التقييم القبلي والبعدي
85. حل المشكلات الابتكاري (TRIZ),التفكير الخوارزمي (Algorithmic),1. تعريف: تحديد التناقض التقني أو الإداري. 2. تجريد: تحويل المشكلة إلى نموذج TRIZ العام. 3. مطابقة: البحث في الـ 40 مبدأ ابتكاري عبر الـ AI. 4. توليد: اشتقاق حلول نوعية مبنية على المبادئ. 5. تحقيق: فحص جدوى الحل المبتكر في السياق.,TRIZ Innovation Software,الوصول لحل يزيل التناقض دون التضحية بأي طرف
86. التعاون الجماهيري (Crowdsourced),الذكاء الجمعي (تعهيد جماعي),1. طرح: نشر سؤال أو مشروع في مجتمع سحابي واسع. 2. فلترة: تقييم جودة الردود الواردة من الجمهور. 3. دمج: توظيف أفضل الأفكار في بنية المشروع. 4. مساهمة: رد الجميل للمجتمع بنشر النتائج النهائية. 5. تقييم: قياس أثر الذكاء الجمعي في جودة الحل.,GitHub / Wikipedia,الحصول على حلول متنوعة من مصادر خارجية خبيرة
87. التحليل الصرفي (Morphological),التفكير التوافيقي (Combinatorial),1. تفكيك: تقسيم المشكلة لأبعادها الأساسية. 2. مصفوفة: بناء جدول يحتوي على بدائل لكل بُعد. 3. تركيب: استخدام الـ AI لتوليد تشكيلات عشوائية. 4. فحص: تقييم التشكيلات الناتجة من حيث المنطق والجدوى. 5. اختيار: تحديد التوليفة المثالية لحل المشكلة.,Matrix Generators / AI,استكشاف كافة الاحتمالات الممكنة رياضياً في المصفوفة
88. الواقع المعزز (AR Learning),الذكاء البصري المكاني,1. إسقاط: عرض نموذج ثلاثي الأبعاد فوق سياق واقعي. 2. تفاعل: تلاعب الطالب بالنموذج (تكبير، تفكيك). 3. ربط: قراءة بيانات رقمية تظهر بجانب الأجزاء الملموسة. 4. محاكاة: تغيير متغيرات النموذج ورصد الأثر بصرياً. 5. توثيق: تسجيل فيديو يشرح فيه الظاهرة عبر AR.,Adobe Aero / Merge Cube,القدرة على شرح العلاقات الداخلية للنموذج بوضوح
89. استراتيجية التناظر (Analogy),التفكير القياسي (Analogical Reasoning),1. تحديد: اختيار مفهوم معقد (مثلاً التيار الكهربائي). 2. استعارة: البحث عن نظام مألوف مشابه (تدفق الماء). 3. رسم خرائط: مطابقة أجزاء النظامين (البطارية=المضخة). 4. فحص الثغرات: تحديد أين يفشل التناظر. 5. بناء: إنشاء نموذج ذهني جديد للمفهوم المعقد.,AI Analogy Engines,نجاح الطالب في شرح المفهوم الصعب باستخدام المعادل السهل
90. الاستبطان (Introspection),الوعي الذاتي (Self-Awareness),1. تسجيل: تدوين الطالب لمشاعره وعملياته الذهنية رقمياً. 2. تحليل: استخدام معالجة اللغات لرصد الأنماط العاطفية. 3. حوار: الدردشة مع بوت تأملي يسأل لماذا فكرت هكذا؟. 4. توعية: تحديد التحيزات المعرفية التي ظهرت بالتعلم. 5. نمو: صياغة خطة تطوير شخصية بناءً على الاستبطان.,Digital Journals / AI Bots,تحديد نقطة تحول واحدة على الأقل في التفكير الشخصي
91. العروض العملية الرقمية,التفاعل الهولوغرامي,1. تجسيد: عرض نموذج ثلاثي الأبعاد فائق الدقة. 2. تفاعل: تفكيك الطالب للنموذج بيديه الافتراضيتين. 3. تحكم: تعديل متغيرات العرض لحظياً. 4. تشفير: حفظ سجل التفاعل محلياً. 5. مشاركة: بث العرض للأقران عبر نفق مشفر.,Holograms / Mixed Reality,شرح ميكانيكا العمل عبر التفاعل المباشر مع الهولوغرام
92. STAD الميتافرس,التعلم التعاوني الغامر,1. دخول: تسجيل الدخول بهوية رقمية سيادية. 2. توزيع: تقسيم الطلاب لمجموعات في غرف غامرة. 3. تنافس: إجراء تحديات رقمية جماعية. 4. مزامنة: تحديث درجات الفريق على بلوكشين تعليمي. 5. تتويج: عرض لوحة الصدارة الشفافة والمؤمنة.,Social VR / Metaverse,تحقيق أعلى درجات التفاعل الجماعي والحفاظ على الخصوصية
93. التعلم الغامر (VR Deep Dive),التواجد الذهني (Telepresence),1. انغماس: انتقال الطالب لبيئة تاريخية أو مجهرية. 2. مهمة: تنفيذ مهمة سيادية (مثلاً إنقاذ خلية). 3. رصد: تحليل أنماط الحركة لتحسين البيئة. 4. معالجة: ربط المشاعر المكتشفة بالمحتوى الأكاديمي. 5. خروج: جلسة تأمل رقمية لربط العالم الافتراضي بالواقع.,Oculus / HTC Vive,وصول الطالب لحالة التدفق وفقدان الإحساس بالزمن
94. المختبر الجاف (Dry Lab),المحاكاة النزيهة (High Fidelity),1. نمذجة: بناء بيئة مخبرية خالية من المخاطر. 2. تجريب: معالجة المتغيرات الكيميائية/الفيزيائية. 3. نزاهة: ضمان عدم التلاعب بالبيانات عبر سجلات رقمية. 4. استنتاج: استخراج القوانين من المحاكاة. 5. إثبات: تقديم برهان رقمي على صحة النتائج.,Virtual Simulators,تطابق نتائج المختبر الجاف مع القوانين العلمية
95. التعلم التشاركي السيادي (CSCL),السيادة الرقمية (Digital Sovereignty),1. تأسيس: إنشاء مساحة عمل سحابية خاصة بالفريق. 2. تأليف: كتابة مشتركة للمحتوى (Real-time). 3. سيادة: التحكم التام في من يرى أو يعدل البيانات. 4. تواصل: نقاش عبر قنوات صوتية مؤمنة. 5. أرشفة: حفظ المنتج النهائي في محفظة المعرفة الخاصة.,Decentralized Workspaces,إنتاج معرفة جماعية لا يملك طرف خارجي الوصول إليها
96. مصفوفة الاختيار الخوارزمية,الاستقلالية المدعومة بالذكاء,1. عرض: تقديم مصفوفة خيارات بناءً على ميول الطالب. 2. مسار: اختيار الطالب للمسار الذي يراه مناسباً. 3. تتبع: قيام الـ AI بدعم الطالب في مساره المختار. 4. تقييم: مراجعة جودة الاختيار وأثره على الفهم. 5. تعديل: تحديث المصفوفة لتعزيز نقاط القوة.,AI Adaptive Choice Board,اتخاذ قرار تعليمي مستقل يوصل الطالب للإتقان
97. الروبوتات الافتراضية,التوأم الرقمي (Digital Twin),1. برمجة: كتابة الكود للروبوت في بيئة افتراضية. 2. اختبار: تشغيل الروبوت في محاكاة فيزيائية واقعية. 3. تصحيح: معالجة أخطاء الكود بناءً على حركة الروبوت. 4. نشر: إرسال الكود لروبوت حقيقي (اختياري). 5. توثيق: شرح الخوارزمية التي تحكمت في الروبوت.,Robot Simulators,حل تحدي حركي معقد عبر المنطق البرمجي
98. الاستقصاء العادل الرقمي,الأخلاق الرقمية (المنطق الأخلاقي),1. قضية: طرح معضلة أخلاقية تقنية (خصوصية AI). 2. بحث: جمع أدلة رقمية من مصادر موثوقة. 3. محاكمة: إجراء مناظرة في بيئة المحكمة الرقمية. 4. حكم: التصويت الجماعي بناءً على قوة الحجة. 5. ميثاق: صياغة ميثاق أخلاقي رقمي للمجموعة.,Digital Justice Platforms,الدفاع عن قيمة إنسانية في وجه خوارزمية غير عادلة
99. الإنتاج المشترك (Human-AI),التعاون الهجين (السيادة المشتركة),1. حوار: بدء نقاش مع AI محلي (Local LLM). 2. توليد: طلب مسودات أولية للمشاريع أو الأفكار. 3. نقد: فحص مخرجات الـ AI بحثاً عن الهلوسة. 4. تطوير: دمج لمسة الطالب الإبداعية مع قدرة الآلة. 5. اعتماد: نسب الفضل لصاحبه (بشري+آلي) بنزاهة.,Local AI Models,إنتاج مخرج هجين يتجاوز قدرات الطالب والآلة منفردين
100. استراتيجية صلة (Integrative),النظام البيئي التعليمي الشامل,1. تجميع: دمج أفضل 99 استراتيجية في مسار واحد. 2. تشخيص: تحديد احتياج المتعلم في تلك اللحظة. 3. تفعيل: استدعاء الاستراتيجية الأنسب آلياً. 4. تحليق: منح الطالب كامل السيادة لقيادة تعلمه. 5. بصمة: ترك أثر معرفي مستدام يخدم المجتمع.,Sela Hub (منصة صلة),تحول الطالب من متعلم لمنتج ومصدر سيادي للمعرفة
